pca_components,alpha,umap_n_components,umap_n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_clusters,n_outliers,outlier_pct,silhouette_global,min_cluster_silhouette,n_bad_clusters,n_weak_clusters,largest_cluster_pct,davies_bouldin,score,meets_all
50,0.4,30,10,60,20,eom,10,800,22.69503546099291,0.3568190038204193,0.10163159,0,1,18.97872340425532,0.8289284780729667,577.4999315962724,True
60,0.3,20,10,60,30,eom,10,819,23.23404255319149,0.3528617024421692,0.08041838,0,1,21.47517730496454,0.7333227093998806,563.3709099800029,True
60,0.7,20,20,60,20,eom,13,853,24.19858156028369,0.33820679783821106,0.06482548,0,2,18.638297872340427,0.8851589188352229,544.987497208389,True
60,0.3,30,10,60,20,eom,14,931,26.411347517730498,0.34090980887413025,0.05237523,0,2,18.49645390070922,0.9233086567218918,540.860032366734,True
60,0.3,20,10,60,20,eom,11,797,22.609929078014186,0.3409278392791748,0.11977226,0,2,17.70212765957447,0.7823851019357971,536.1730719952719,True
60,0.3,20,15,60,20,eom,8,891,25.27659574468085,0.31193339824676514,0.20157897,0,0,28.794326241134755,0.8049968132222642,534.2066400000389,True
60,0.6,30,10,60,30,eom,6,857,24.31205673758865,0.3890363574028015,0.19576564,0,1,36.08510638297872,0.7123619506166922,530.7568621517074,True
50,0.3,30,10,50,20,eom,11,706,20.02836879432624,0.3171575665473938,0.06460531,0,2,19.631205673758863,0.8000432751880283,529.7665719216596,True
70,0.3,25,10,60,30,eom,10,872,24.73758865248227,0.33969923853874207,0.043472275,0,1,21.81560283687943,0.7492124508841105,526.2802183890174,True
70,0.4,25,10,50,30,eom,10,944,26.780141843971634,0.3337780833244324,0.13824952,0,1,16.397163120567377,0.7782453688869991,516.8464263381687,True
70,0.3,20,10,60,20,eom,12,935,26.52482269503546,0.341300904750824,0.09187066,0,2,17.70212765957447,0.7664534101784871,507.90198672536417,True
60,0.5,30,10,60,30,eom,8,756,21.4468085106383,0.32107552886009216,0.020186516,0,1,21.163120567375888,0.9659668192019975,499.1979383480675,True
60,0.3,20,10,50,20,eom,12,803,22.78014184397163,0.29980361461639404,0.0382088,0,2,20.0,0.784869149940418,496.86381459257285,True
50,0.5,25,10,50,30,eom,9,826,23.43262411347518,0.312308132648468,0.025965743,0,1,21.134751773049647,0.9302232914382768,489.74241595361246,True
70,0.5,30,10,50,30,eom,9,900,25.53191489361702,0.3311285674571991,0.034267437,0,1,19.54609929078014,0.9332784763058566,487.13099097000793,True
70,0.4,25,10,60,20,eom,11,949,26.921985815602838,0.33566024899482727,0.112149514,0,2,17.929078014184398,0.7993407586017419,481.9483078747776,True
60,0.5,30,15,60,30,eom,6,831,23.574468085106385,0.328208863735199,0.1359743,0,1,26.24113475177305,0.8675152513407438,466.0845753766121,True
50,0.3,20,15,60,20,eom,9,680,19.29078014184397,0.29708176851272583,0.06969827,0,2,20.680851063829785,0.8589435810066978,464.6384431263234,True
70,0.3,20,10,50,30,eom,9,877,24.879432624113477,0.33165213465690613,0.084552765,0,2,18.29787234042553,0.8400794689364036,454.8889287701735,True
70,0.3,30,15,60,20,eom,13,918,26.04255319148936,0.31476759910583496,0.07089872,0,3,17.900709219858154,0.8479038247974278,452.47925782584133,True
60,0.3,25,15,50,20,eom,12,948,26.893617021276594,0.3356856405735016,0.07451899,0,3,17.30496453900709,0.785279320022628,444.75965203883806,True
70,0.3,25,15,60,20,eom,12,941,26.695035460992905,0.3195877969264984,0.07556635,0,3,18.099290780141843,0.8217086939224544,431.0556771383218,True
60,0.3,30,15,50,20,eom,12,865,24.53900709219858,0.2954334020614624,0.06216302,0,3,17.617021276595747,0.8795629149446146,427.9369283303724,True
50,0.4,20,10,50,30,eom,11,840,23.829787234042556,0.29950958490371704,0.102492936,0,3,18.49645390070922,0.8327060296186339,427.8805125203538,True
60,0.6,25,20,60,20,eom,7,694,19.68794326241135,0.2329566329717636,0.002489319,0,1,36.851063829787236,0.9333258595783631,400.64598614770046,True
50,0.3,30,15,50,20,eom,13,898,25.475177304964543,0.2922435700893402,0.06713139,0,4,18.24113475177305,0.7905451335977001,385.44289826628165,True
60,0.3,30,10,50,20,eom,8,584,16.567375886524825,0.23607319593429565,0.09169841,0,2,39.31914893617021,0.810674869388069,363.5192605383853,True
70,0.6,30,20,50,30,eom,7,917,26.01418439716312,0.25198861956596375,0.008391926,0,1,35.77304964539007,0.88474396085414,357.51097641018686,True
50,0.6,25,20,50,30,eom,7,924,26.21276595744681,0.2520022690296173,0.0075276364,0,1,34.09929078014184,0.8953065434882052,355.16737077052284,True
50,0.3,30,20,50,20,eom,8,845,23.97163120567376,0.2206982523202896,0.093772635,0,4,25.078014184397162,0.9726546098120822,235.76483603064895,True
50,0.6,25,10,50,40,eom,6,840,23.829787234042556,0.4055482745170593,0.20388421,0,0,40.08510638297872,0.6337195068112059,-1000.8510638297872,False
70,0.6,25,10,60,30,eom,6,657,18.638297872340427,0.37730246782302856,0.21263206,0,0,40.170212765957444,0.6873250997627259,-1001.7021276595744,False
50,0.6,20,10,60,40,eom,6,769,21.81560283687943,0.38600119948387146,0.19677173,0,1,40.170212765957444,0.670342394308352,-1001.7021276595744,False
50,0.6,25,20,60,40,eom,5,913,25.900709219858154,0.43164491653442383,0.33801526,0,0,40.39716312056738,0.6518668782280848,-1003.9716312056738,False
60,0.6,30,10,50,40,eom,6,841,23.858156028368793,0.39609915018081665,0.17780714,0,1,40.39716312056738,0.6409162787310904,-1003.9716312056738,False
50,0.6,25,10,60,30,eom,6,643,18.24113475177305,0.3821113407611847,0.21490712,0,0,40.53900709219858,0.6965504007883002,-1005.3900709219859,False
60,0.6,30,10,60,40,eom,6,780,22.127659574468083,0.38896405696868896,0.18259798,0,1,40.73758865248227,0.6402290309743357,-1007.3758865248227,False
70,0.6,25,10,60,40,eom,6,786,22.29787234042553,0.3904063105583191,0.20373286,0,0,41.02127659574468,0.6401978813164838,-1010.2127659574468,False
70,0.6,30,10,60,30,eom,6,576,16.340425531914892,0.38161128759384155,0.20550478,0,0,41.1063829787234,0.7152093949206227,-1011.063829787234,False
50,0.6,20,10,50,30,eom,7,920,26.099290780141843,0.37893185019493103,0.25421712,0,0,41.702127659574465,0.671037733872832,-1017.0212765957447,False
60,0.6,25,10,60,30,eom,8,731,20.73758865248227,0.3878103494644165,0.26277533,0,0,41.98581560283688,0.7082291468068757,-1019.8581560283687,False
70,0.6,20,10,50,40,eom,8,908,25.758865248226954,0.3913697898387909,0.28199652,0,0,42.01418439716312,0.6035074259790341,-1020.1418439716313,False
60,0.6,25,10,60,40,eom,6,723,20.51063829787234,0.38469675183296204,0.23743354,0,0,42.836879432624116,0.6595608018332665,-1028.3687943262412,False
50,0.6,30,10,60,30,eom,5,593,16.822695035460995,0.39609289169311523,0.30647364,0,0,43.319148936170215,0.6629745135757533,-1033.1914893617022,False
70,0.6,30,10,50,40,eom,7,898,25.475177304964543,0.3826405704021454,0.26467323,0,0,43.43262411347518,0.6021194785279006,-1034.3262411347519,False
60,0.6,20,20,60,40,eom,4,873,24.76595744680851,0.4064878821372986,0.27146855,0,0,34.58156028368794,0.7386918244622118,-1100.0,False
70,0.7,25,20,60,20,eom,12,952,27.00709219858156,0.36957138776779175,0.18330106,0,2,21.134751773049647,0.8912635400760732,-1140.1418439716313,False
